title,title_characters,author,journal,number,cites,year,pubid,name,scholar_id
amongindividual variation pollen limitation inbreeding depression mixedmating shrub,97,"JP González-Varo, A Traveset",Annals of Botany,"106 (6), 999-1008",36,2010,UeHWp8X0CEIC,Juan P. González-Varo,"""CE8lFmoAAAAJ"""
 review new zealands deliberately introduced bee fauna current status potential impacts,97,"BG Howlett, BJ Donovan",New Zealand Entomologist,"33 (1), 92-101",60,2010,UebtZRa9Y70C,Brad Howlett,"""DYhlzEoAAAAJ"""
behavioral suites mediate grouplevel foraging dynamics communities tropical stingless bees,97,"EM Lichtenberg, VL Imperatriz-Fonseca, JC Nieh",Insectes sociaux,"57 (1), 105-113",63,2010,u5HHmVD_uO8C,Elinor Lichtenberg,"""bZJyQY4AAAAJ"""
cost trichome production resistance specialist insect herbivore arabidopsis lyrata,97,"N Sletvold, P Huttunen, R Handley, K Kärkkäinen, J Ågren",Evolutionary Ecology,"24 (6), 1307-1319",80,2010,TFP_iSt0sucC,Jon Ågren,"""yxf8wX8AAAAJ"""
pollinatormediated selection floral display spur length orchid gymnadenia conopsea,97,"N Sletvold, J Ågren",International journal of plant sciences,"171 (9), 999-1009",121,2010,TQgYirikUcIC,Jon Ågren,"""yxf8wX8AAAAJ"""
configural processing enables discrimination categorization facelike stimuli honeybees,97,"A Avargues-Weber, G Portelli, J Bénard, A Dyer, M Giurfa",Journal of Experimental Biology,"213 (4), 593-601",135,2010,eMMeJKvmdy0C,Adrian Dyer,"""-XQ4dRsAAAAJ"""
compounded effects climate change habitat alteration shift patterns butterfly diversity,97,"ML Forister, AC McCall, NJ Sanders, JA Fordyce, JH Thorne, J O’Brien, ...",Proceedings of the National Academy of Sciences,"107 (5), 2088-2092",449,2010,d1gkVwhDpl0C,Andrew C. McCall,"""aIIt4dcAAAAJ"""
mapping relative risk biodiversity application pesticides focussing pollinators,98,"PB Sørensen, S Gyldenkærne, SG Potts, C Brittain, M Thomsen",Atlas of biodiversity risk,228,1,2010,hQUaER0FWQ4C,Simon Potts,"""q_vbRxIAAAAJ"""
ensuring food production native biodiversity provides pollination biological control services,98,JM Tylianakis,University of Canterbury. Biological Sciences,,2,2010,4JMBOYKVnBMC,Jason M Tylianakis,"""mHxNHaAAAAAJ"""
use identification tikumu celmisia species asteraceae artifacts new zealand origin,98,"JM Lord, RE McCallum, CA Smith, DJ Carr",Journal of the American Institute for Conservation,"49 (2), 69-82",5,2010,RHpTSmoSYBkC,Janice Lord,"""OhVRkgcAAAAJ"""
added salt helps sunbirds honeyeaters maintain energy balance extremely dilute nectar diets,98,"C Purchase, P Fleming, S Nicolson",Journal of Comparative Physiology B,"180 (8), 1227-1234",8,2010,_xSYboBqXhAC,Susan W. Nicolson,"""YK3ya9oAAAAJ"""
isolation microsatellite markers common mediterranean shrub myrtus communis myrtaceae,98,"RG Albaladejo, F Sebastiani, SC González‐Martínez, JP González‐Varo, ...",American Journal of Botany,"97 (5), e23-e25",22,2010,Y0pCki6q_DkC,Juan P. González-Varo,"""CE8lFmoAAAAJ"""
influence meteorological parameters hourly patterns grass poaceae pollen concentrations,98,"RAF Munoz, I Silva Palacios, R Tormo Molina",Annals of Agricultural and Environmental Medicine,"17 (1), 87-100",23,2010,Y0pCki6q_DkC,Rafael Tormo Molina,"""hcpepjUAAAAJ"""
visitantes florales diurnos del girasol helianthus annuus asterales asteraceae en la argentina,98,"JP Torretta, D Medan, A Roig Alsina, NH Montaldo",Revista de la Sociedad Entomológica Argentina,"69 (1-2), 17-32",46,2010,U_h31ocWZrQC,Medan Diego,"""GfiU00IAAAAJ"""
scent chemistry pollinator attraction deceptive trap flowers ceropegia dolichophylla,98,"A Heiduk, I Brake, T Tolasch, J Frank, A Jürgens, U Meve, S Dötterl",South African Journal of Botany,"76 (4), 762-769",54,2010,ns9cj8rnVeAC,Andreas Jürgens,"""mXZQj-IAAAAJ"""
relative contribution agroforestry rainforest openland local regional bee diversity,98,"P Hoehn, I Steffan-Dewenter, T Tscharntke",Biodiversity and Conservation,"19, 2189-2200",64,2010,5awf1xo2G04C,Teja Tscharntke,"""X36HAGcAAAAJ"""
 impact insecticide insect flower visitation pollination agricultural landscape,98,"M Vighi, J Settele, SG Potts",Agricultural and Forest Entomology,"12, 259-266",69,2010,r0BpntZqJG4C,Simon Potts,"""q_vbRxIAAAAJ"""
spatial distribution flower vs honeydew resources cereal fields may affect aphid parasitism,98,"IMG Vollhardt, FJJA Bianchi, FL Wäckers, C Thies, T Tscharntke",Biological Control,"53 (2), 204-213",73,2010,4DMP91E08xMC,Felix Bianchi,"""8bwmdY4AAAAJ"""
nectar improve parasitoid fitness biological control sucrose hexose ratio matter,98,"JML Tompkins, SD Wratten, FL Wäckers",Basic and Applied Ecology,"11 (3), 264-271",79,2010,J_g5lzvAfSwC,Felix Wackers,"""3pVhk_wAAAAJ"""
 pollination mid mesozoic seed plants early history longproboscid insects ,98,CC Labandeira,Annals of the Missouri Botanical Garden,"97 (4), 469-513",136,2010,iH-uZ7U-co4C,Conrad Labandeira,"""T_W1E9IAAAAJ"""
frame work adaptive population dynamic model varroa mite korean beekeeping environment,99,C Jung,한국응용곤충학회 학술대회논문집,43-43,3,2010,MXK_kJrjxJIC,Chuleui Jung,"""BtnbXbcAAAAJ"""
measurement reliability parameters solar pv system employing boolean function technique,99,"D Sharma, JK Rana, S Gupta",Research Journal of Mathematics and Statistics,"2 (2), 81-85",4,2010,_Qo2XoVZTnwC,DR DEVINDER SHARMA,"""_0rxcOwAAAAJ"""
secreted immunogenic proteins produced honeybee bacterial pathogen paenibacillus larvae,99,"K Antúnez, M Anido, JD Evans, P Zunino",Veterinary microbiology,"141 (3-4), 385-389",31,2010,gI9wzKcniAoC,Jay D. Evans,"""iCJoV-EAAAAJ"""
defence reactions apis mellifera ligustica attacks european hornet vespa crabro,99,"D Baracchi, G Cusseau, D Pradella, S Turillazzi",Ethology Ecology & Evolution,"22 (3), 281-294",70,2010,qjMakFHDy7sC,David Baracchi,"""1JRZ0d0AAAAJ"""
global stingless bee phylogeny supports ancient divergence vicariance long distance dispersal,99,"C Rasmussen, SA Cameron",Biological Journal of the Linnean Society,"99 (1), 206-232",406,2010,u-x6o8ySG0sC,Claus Rasmussen,"""qCRgHZ0AAAAJ"""
colony losses managed colony population decline colony collapse disorder united states,99,"JD Ellis, JD Evans, J Pettis",Journal of Apicultural Research,"49 (1), 134-136",455,2010,jKT558fuBk8C,Jay D. Evans,"""iCJoV-EAAAAJ"""
flowers insect eyes contribution pollinator vision evolution flower colour,100,SEJ Arnold,,,5,2010,aqlVkmm33-oC,Sarah Arnold,"""vB1Zkj8AAAAJ"""
floral scent composition early diverging taxa asclepiadoideae secamonoideae apocynaceae,100,"A Jürgens, S Dötterl, S Liede-Schumann, U Meve",South African Journal of Botany,"76 (4), 749-761",27,2010,J_g5lzvAfSwC,Andreas Jürgens,"""mXZQj-IAAAAJ"""
pollinators floral morphology scent chemistry southern african orchid genus schizochilus,100,"T Van der Niet, A Jürgens, SD Johnson",South African Journal of Botany,"76 (4), 726-738",37,2010,NaGl4SEjCO4C,Andreas Jürgens,"""mXZQj-IAAAAJ"""
massscreening techniques early selection disease resistance chickpea cicer arietinum,101,"S Pande, JN Rao, M Sharma, M Pathak, P Stevenson",,,2,2010,pyW8ca7W8N0C,Philip C Stevenson,"""LFTAL14AAAAJ"""
relation group size daily activity patterns southern lapwing vanellus chilensis behaviour,101,"PK Maruyama, AF Cunha, E Tizo-Pedroso, K Del-Claro",Journal of Ethology,"28, 339-344",34,2010,2osOgNQ5qMEC,Pietro Kiyoshi Maruyama Mendonça,"""9Nn2atgAAAAJ"""
linking environmental demographic data predict future population viability perennial herb,101,"P Toräng, J Ehrlén, J Ågren",Oecologia,"163 (1), 99-109",53,2010,iH-uZ7U-co4C,Jon Ågren,"""yxf8wX8AAAAJ"""
 role enemy release tolerance resistance plant invasions linking damage performance,101,"YJ Chun, M Van Kleunen, W Dawson",Ecology letters,"13 (8), 937-946",196,2010,roLk4NBRz8UC,Mark van Kleunen,"""2gmD55UAAAAJ"""
cos epiphytephorophyte network structure fragmented tropical dry forest western mexico,102,"R Sayago, M Lopezaraiza-Mikel, A Cascante-Marin, M Quesada",The,95th ESA Annual Meeting,2,2010,2osOgNQ5qMEC,Martha Lopezaraiza-Mikel,"""Tj0tlXoAAAAJ"""
phylogeography coccus scale insects inhabiting myrmecophytic macaranga plants southeast asia,102,"S Ueda, SP Quek, T Itioka, K Murase, T Itino",Population ecology,"52, 137-146",23,2010,YOwf2qJgpHMC,Takao Itino,"""1RUMEKYAAAAJ"""
leaf trichome production responses defoliation drought arabidopsis lyrata brassicaceae,102,"P Huttunen, K Kärkkäinen, G Løe, P Rautio, J Ågren",Annales Botanici Fennici,"47 (3), 199-207",51,2010,r0BpntZqJG4C,Jon Ågren,"""yxf8wX8AAAAJ"""
evaluation dna barcoding identification new haplomorphs canadian deerflies horseflies,102,"A Cywinska, MA Hannan, PG Kevan, RE Roughley, M Iranpour, FF Hunter",Medical and Veterinary Entomology,"24 (4), 382-410",61,2010,pqnbT2bcN3wC,Peter Kevan,"""mbOeZkcAAAAJ"""
two new species nocturnal bees genus megalopta hymenoptera halictidae keys species,103,"VH Gonzalez, T Griswold, R Ayala",Revista de Biología Tropical,"58 (1), 255-263",15,2010,IWHjjKOFINEC,Victor Hugo Gonzalez Betancourt,"""NPLom4YAAAAJ"""
reproductive pollination biology endemic hawaiian cotton gossypium tomentosum malvaceae ,103,"JM Pleasants, JF Wendel",Pacific Science,"64 (1), 45-55",30,2010,ULOm3_A8WrAC,John Pleasants,"""xM7ck9kAAAAJ"""
sexual harassment males reduces female fecundity alfalfa leafcutting bee megachile rotundata,103,"BH Rossi, P Nonacs, TL Pitts-Singer",Animal Behaviour,"79 (1), 165-171",61,2010,ULOm3_A8WrAC,Theresa Pitts-Singer,"""O7C4ofEAAAAJ"""
combined effects impatiens glandulifera invasion landscape structure native plant pollination,103,"I Bartomeus, M Vilà, I Steffan‐Dewenter",Journal of Ecology,"98 (2), 440-450",143,2010,2osOgNQ5qMEC,Ignasi Bartomeus,"""EXdyoWAAAAAJ"""
 potential artificial nesting sites increasing population density black cacao ants,104,"MLA Hosang, CH Schulze, T Tscharntke, D Buchori",,,5,2010,LO7wyVUgiFcC,Teja Tscharntke,"""X36HAGcAAAAJ"""
energy management nectar diet can sunbirds meet challenges low temperature dilute food,104,"A Köhler, L Verburgt, TJ McWhorter, SW Nicolson",Functional ecology,"24 (6), 1241-1251",24,2010,GnPB-g6toBAC,Susan W. Nicolson,"""YK3ya9oAAAAJ"""
genomic survey ectoparasitic mite varroa destructor major pest honey bee apis mellifera,104,"RS Cornman, MC Schatz, JS Johnston, YP Chen, J Pettis, G Hunt, ...",BMC genomics,"11, 1-15",156,2010,Wp0gIr-vW9MC,Christina Grozinger,"""uwKZaKIAAAAJ"""
phylogeography gene diversity gallforming aphid aploneura lentisci mediterranean basin,105,"S Nahum, M Inbar, G Ne'eman, R Ben-Shlomo",Israel Journal of Plant Sciences,"58 (2), 121-129",3,2010,maZDTaKrznsC,Gidi Ne'eman,"""-3hYSFcAAAAJ"""
perennial field margins combined agronomical ecological benefits vegetable rotation schemes,105,"DR George, P Croft, P Northing, FL Wäckers",,,10,2010,Z5m8FVwuT1cC,Felix Wackers,"""3pVhk_wAAAAJ"""
home range analysis study spatial organization comb paper wasp polistes dominulus,105,"D Baracchi, M Zaccaroni, R Cervo, S Turillazzi",Ethology,"116 (7), 579-587",22,2010,UeHWp8X0CEIC,David Baracchi,"""1JRZ0d0AAAAJ"""
 historical events shape current geographic variation morph frequencies polymorphic damselfly,105,"A Iserbyt, J Bots, H Van Gossum, K Jordaens",Journal of Zoology,"282 (4), 256-265",28,2010,fQNAKQ3IYiAC,Kurt Jordaens,"""mbg0t7QAAAAJ"""
gender differences effects floral spur length manipulation fitness hermaphrodite orchid,105,"AG Ellis, SD Johnson",International Journal of Plant Sciences,"171 (9), 1010-1019",46,2010,ufrVoPGSRksC,Allan G. Ellis,"""gxJPM4kAAAAJ"""
susceptibility aethina tumida coleoptera nitidulidae larvae pupae entomopathogenic nematodes,105,"JD Ellis, S Spiewok, KS Delaplane, S Buchholz, P Neumann, WL Tedders",Journal of economic entomology,"103 (1), 1-9",52,2010,Wp0gIr-vW9MC,Keith S. Delaplane,"""GiHbaU4AAAAJ"""
temperature dominant dolichoderine ant species affect ant diversity indonesian cacao plantations,105,"A Wielgoss, T Tscharntke, D Buchori, B Fiala, Y Clough","Agriculture, Ecosystems & Environment","135 (4), 253-259",64,2010,fQNAKQ3IYiAC,Teja Tscharntke,"""X36HAGcAAAAJ"""
can expect protect threatened species protected areas case study genus pinus mexico,105,"J Aguirre Gutiérrez, JF Duivenvoorden",Revista mexicana de biodiversidad,"81 (3), 875-882",68,2010,u5HHmVD_uO8C,Jesús Aguirre Gutiérrez,"""DTzjQtIAAAAJ"""
convergence carbohydratebiased intake targets caged worker honeybees fed different protein sources,105,"SZ Altaye, CWW Pirk, RM Crewe, SW Nicolson",Journal of Experimental Biology,"213 (19), 3311-3318",155,2010,Wp0gIr-vW9MC,Susan W. Nicolson,"""YK3ya9oAAAAJ"""
effects experimental drought functioning cacao agroforestry system sulawesi indonesia,105,"L Schwendenmann, E Veldkamp, G Moser, D Hölscher, M Köhler, ...",Global Change Biology,"16 (5), 1515-1530",165,2010,kRWSkSYxWN8C,Teja Tscharntke,"""X36HAGcAAAAJ"""
molecular characterisation arion ponsi endemic slug balearic islands pulmonata arionidae,106,"T Backeljau, J Quintana Cardona, K Breugelmans, H Vrijders, K Jordaens",,,1,2010,BqipwSGYUEgC,Kurt Jordaens,"""mbg0t7QAAAAJ"""
 imagistic text jonathan safran foer tracing unconventional texts kerouac artists book,106,D Paton,De arte,"45 (81), 4-22",5,2010,q3CdL3IzO_QC,David C. Paton,"""uIa2XpUAAAAJ"""
variation foraging rate wing loading resting metabolic rate scaling insect pollinators,106,"J Terblanche, B Anderson",Naturwissenschaften,"97, 775-780",11,2010,AHdEip9mkN0C,Bruce Anderson,"""TQUTOpcAAAAJ"""
una especie nueva de lestrimelitta y un cambio de nombre en lasioglossum hymenoptera apidae halictidae,106,"VH Gonzalez, C Rasmussen, A Velasquez",Revista Colombiana de Entomología,"36 (2), 319-324",16,2010,9ZlFYXVOiuMC,Claus Rasmussen,"""qCRgHZ0AAAAJ"""
fecundity hermaphroditic land snail succinea putris pulmonata succineidae body size matter,107,"L Dillen, K Jordaens, L De Bruyn, T Backeljau",Journal of Molluscan Studies,"76 (4), 376-383",15,2010,Mojj43d5GZwC,Kurt Jordaens,"""mbg0t7QAAAAJ"""
structural versus functional habitat connectivity measures explain bird diversity fragmented orchards,107,"S Mühlner, U Kormann, M Schmidt-Entling, F Herzog, D Bailey",Journal of landscape ecology,"3 (1), 52-64",37,2010,UeHWp8X0CEIC,Urs G Kormann,"""vvzvZLMAAAAJ"""
 effects mating instrumental insemination queen honey bee flight behaviour gene expression,107,"SD Kocher, DR Tarpy, CM Grozinger",Insect molecular biology,"19 (2), 153-162",59,2010,4DMP91E08xMC,Christina Grozinger,"""uwKZaKIAAAAJ"""
revision metallic species lasioglossum dialictus canada hymenoptera halictidae halictini,107,J Gibbs,Zootaxa,"2591 (1), 1–382-1–382",196,2010,5nxA0vEk-isC,Jason Gibbs,"""5SWs9jQAAAAJ"""
comparing organic farming land sparing optimizing yield butterfly populations landscape scale,107,"JA Hodgson, WE Kunin, CD Thomas, TG Benton, D Gabriel",Ecology Letters,"13 (11), 1358-1367",226,2010,5nxA0vEk-isC,William E. Kunin,"""VTcJiD0AAAAJ"""
effects loss organophosphate pesticides us opportunities needs improve ipm programs,108,"VP Jones, SA Steffan, LA Hull, JF Brunner, DJ Biddinger",Outlooks on Pest Management,"21 (4), 161-166",40,2010,hqOjcs7Dif8C,David J. Biddinger,"""DA60h24AAAAJ"""
new insights phylogenetics biogeography arum araceae unravelling evolutionary history,108,"A Espindola, S Buerki, M Bedalov, P Kuepfer, N Alvarez",Botanical journal of the linnean society,"163 (1), 14-32",53,2010,u5HHmVD_uO8C,Anahí Espíndola,"""7tB6PFIAAAAJ"""
effect temperature regime diapause intensity adultwintering hymenopteran obligate diapause,108,"F Sgolastra, J Bosch, R Molowny-Horas, S Maini, WP Kemp",Journal of Insect Physiology,"56 (2), 185-194",81,2010,9yKSN-GCB0IC,Fabio Sgolastra,"""3RKX5FMAAAAJ"""
apis mellifera megachile rotundata comparison behaviour seed yield hybrid carrot seed crop,109,"MM Davidson, RC Butler, BG Howlett",New Zealand Journal of Crop and Horticultural Science,"38 (2), 113-117",15,2010,hqOjcs7Dif8C,Brad Howlett,"""DYhlzEoAAAAJ"""
effects body size courtship role mating frequency sperm transfer land snail succinea putris,109,"L Dillen, K Jordaens, S van Dongen, T Backeljau",Animal Behaviour,"79 (5), 1125-1133",21,2010,XiVPGOgt02cC,Kurt Jordaens,"""mbg0t7QAAAAJ"""
intraspecific geographic variation fragrances acquired orchid bees native introduced populations,109,"SR Ramírez, T Eltz, F Fritzsch, R Pemberton, EG Pringle, ND Tsutsui",Journal of chemical ecology,"36, 873-884",36,2010,NMxIlDl6LWMC,robert pemberton,"""EJcxNNcAAAAJ"""
pollen limitation reproductive assurance antillean gesnerieae specialists vs generalist comparison,109,"S Martén-Rodríguez, CB Fenster",Ecology,"91 (1), 155-165",51,2010,HDshCWvjkbEC,Charles B. Fenster,"""Mp2aG9wAAAAJ"""
contributions immune responses developmental resistance lymantria dispar challenged baculovirus,109,"J McNeil, D Cox-Foster, J Slavicek, K Hoover",Journal of Insect Physiology,"56 (9), 1167-1177",65,2010,4TOpqqG69KYC,Diana L. Cox-Foster,"""p3nOyO8AAAAJ"""
landscape composition influences farm management effects farmland birds winter paneuropean approach,109,"F Geiger, GR de Snoo, F Berendse, I Guerrero, MB Morales, JJ Onate, ...","Agriculture, ecosystems & environment","139 (4), 571-577",88,2010,JoZmwDi-zQgC,Teja Tscharntke,"""X36HAGcAAAAJ"""
influence brood rearing temperature honey bee development susceptibility poisoning pesticides,109,"P Medrzycki, F Sgolastra, L Bortolotti, G Bogo, S Tosi, E Padovani, ...",Journal of Apicultural Research,"49 (1), 52-59",129,2010,u5HHmVD_uO8C,Fabio Sgolastra,"""3RKX5FMAAAAJ"""
 flying scarab beetle games west africa american south cultural transfer parallel evolution,110,RW Pemberton,Florida Entomologist,"93 (4), 647-648",2,2010,VL0QpB8kHFEC,robert pemberton,"""EJcxNNcAAAAJ"""
women engineering science technology education career challenges education career challenges,110,"A Cater-Steel, E Cater",IGI Global,,10,2010,ULOm3_A8WrAC,Romina Rader,"""d4b7yiAAAAAJ"""
hybridization annual plants patterns dynamics fouryear study mixed rhinanthus populations,110,"V Ducarme, J Vrancken, RA Wesselingh",Folia Geobotanica,"45 (4), 387-405",28,2010,5nxA0vEk-isC,Renate A. Wesselingh,"""MUC_BLoAAAAJ"""
pollination potential male bumble bees bombus impatiens movement patterns pollentransfer efficiency,110,"K Ostevik, J Manson, J Thomson",Journal of Pollination Ecology,21-26,39,2010,u-x6o8ySG0sC,Kate Ostevik,"""04UrqXYAAAAJ"""
ambient temperature influences australian native stingless bee trigona carbonaria preference warm nectar,110,"M Norgate, S Boyd-Gerny, V Simonov, MGP Rosa, TA Heard, AG Dyer",PloS one,"5 (8), e12000",83,2010,P5F9QuxV20EC,Adrian Dyer,"""-XQ4dRsAAAAJ"""
multiple stressors biotic interactions climate change alien species interact affect pollination,110,"O Schweiger, JC Biesmeijer, R Bommarco, T Hickler, PE Hulme, S Klotz, ...",Biological Reviews,"85 (4), 777-795",499,2010,WF5omc3nYNoC,Jane Stout,"""OkdqijcAAAAJ"""
patterns estuarine vegetation communities two regions california insights probabilistic survey,111,"AE Fetscher, MA Sutula, JC Callaway, VT Parker, MC Vasey, JN Collins, ...",Wetlands,"30, 833-846",8,2010,IjCSPb-OGe4C,Anne Elizabeth Fetscher (Betty),"""EEpWThIAAAAJ"""
epiphytic growth habits chilean gesneriaceae evolution epiphytes within tribe coronanthereae,111,"MF Salinas, MTK Arroyo, JJ Armesto",Annals of the Missouri Botanical Garden,"97 (1), 117-127",23,2010,j3f4tGmQtD8C,Mary T. K. Arroyo,"""tFVzdokAAAAJ"""
spatial genetic structure within size classes endangered tropical tree guaiacum sanctum zygophyllaceae,111,"EJ Fuchs, JL Hamrick",American Journal of Botany,"97 (7), 1200-1207",50,2010,2osOgNQ5qMEC,Eric J. Fuchs,"""ZvB7znsAAAAJ"""
abandonment intensified use agricultural land decrease habitats rare herbs seminatural grasslands,111,"Y Uematsu, T Koga, H Mitsuhashi, A Ushimaru","Agriculture, ecosystems & environment","135 (4), 304-309",130,2010,UeHWp8X0CEIC,Atushi Ushimaru,"""9uE0IWMAAAAJ"""
floral mimicry enhances pollen export evolution pollination sexual deceit outside orchidaceae,111,"AG Ellis, SD Johnson",The American Naturalist,"176 (5), E143-E151",134,2010,zYLM7Y9cAGgC,Allan G. Ellis,"""gxJPM4kAAAAJ"""
effective gene silencing microsporidian parasite associated honeybee apis mellifera colony declines,111,"N Paldi, E Glick, M Oliva, Y Zilberberg, L Aubin, J Pettis, Y Chen, ...",Applied and environmental microbiology,"76 (17), 5960-5964",140,2010,RmcNAhKkducC,Jay D. Evans,"""iCJoV-EAAAAJ"""
phylogeny diversification patterns historical biogeography euglossine orchid bees hymenoptera apidae,111,"SR Ramirez, DW Roubik, C Skov, NE Pierce",Biological Journal of the Linnean Society,"100 (3), 552-572",166,2010,P5F9QuxV20EC,David Roubik,"""Kr5N890AAAAJ"""
persistent negative effects pesticides biodiversity biological control potential european farmland,111,"F Geiger, J Bengtsson, F Berendse, WW Weisser, M Emmerson, ...",Basic and Applied Ecology,"11 (2), 97-105",1716,2010,3bvyWxjaHKcC,Teja Tscharntke,"""X36HAGcAAAAJ"""
wing damage flight performance dragonflies effects area loss force production aerial predation,112,"SA Combes, JD Crall, S Mukherjee",Integrative and Comparative Biology,"50, E33-E33",2,2010,2osOgNQ5qMEC,James Crall,"""MUgML1sAAAAJ"""
reliability measures system twodissimilar cold standby units random check priority repair,112,"SK Sharma, D Sharma, V Sharma",Res. Math. Stat,"2, 69-74",4,2010,KxtntwgDAa4C,DR DEVINDER SHARMA,"""_0rxcOwAAAAJ"""
effects florivory inbreeding reproduction hermaphrodites wild strawberry fragaria virginiana,112,"AS Rohde, TL Ashman",International journal of plant sciences,"171 (2), 175-184",5,2010,JV2RwH3_ST0C,Tia-Lynn Ashman,"""lLk9M0cAAAAJ"""
comparison two sampling methods quantifying changes vegetation composition rangeland development,112,"E Laliberté, DA Norton, JM Tylianakis, D Scott",Rangeland ecology & management,"63 (5), 537-545",15,2010,4DMP91E08xMC,Jason M Tylianakis,"""mHxNHaAAAAAJ"""
 degree parasitism bumblebee bombus terrestris cuckoo bumblebees bombus psithyrus vestalis,112,"S Erler, HMG Lattorff",Insectes Sociaux,"57 (4), 371-377",39,2010,4JMBOYKVnBMC,H. Michael G. Lattorff,"""04hFd4oAAAAJ"""
changes herbivore control arable fields detrital subsidies depend predator species vary space,112,"K Von Berg, C Thies, T Tscharntke, S Scheu",Oecologia,"163, 1033-1042",40,2010,W5xh706n7nkC,Teja Tscharntke,"""X36HAGcAAAAJ"""
seasonal variation abundance composition hoverfly diptera syrphidae communities multan pakistan,112,"A Sajjad, S Saeed, M Ashfaq",Pakistan Journal of Zoology,"42 (2), 105-115",43,2010,_kc_bZDykSQC,Shafqat saeed,"""c9IZPOUAAAAJ"""
comparative genetic mapping points different sex chromosomes sibling species wild strawberry fragaria,112,"MT Goldberg, RB Spigler, TL Ashman",Genetics,"186 (4), 1425-1433",55,2010,isC4tDSrTZIC,Tia-Lynn Ashman,"""lLk9M0cAAAAJ"""
consequences organic farming landscape heterogeneity species richness abundance farmland birds,112,"HG Smith, J Dänhardt, Å Lindström, M Rundlöf",Oecologia,"162, 1071-1079",154,2010,2osOgNQ5qMEC,Maj Rundlöf,"""FkXb8ncAAAAJ"""
 network monitoring honey bee mortality colony losses italy part apenet research project,113,"F Mutinelli, F Sgolastra, A Gallina, P Medrzycki, L Bortolotti, M Lodesani, ...",,,4,2010,roLk4NBRz8UC,Fabio Sgolastra,"""3RKX5FMAAAAJ"""
time course plant diversity effects centaurea jacea establishment role competition herbivory,113,"N Nitschke, A Ebeling, T Rottstock, C Scherber, C Middelhoff, ...",Journal of Plant Ecology,"3 (2), 109-121",19,2010,LI9QrySNdTsC,Teja Tscharntke,"""X36HAGcAAAAJ"""
local floral composition behaviour pollinators attraction foraging within experimental patches,113,"A Lazaro, Ø Totland",Ecological Entomology,"35 (5), 652-661",60,2010,hFOr9nPyWt4C,Ørjan Totland,"""ics0ER8AAAAJ"""
comparison seedling emergence seed extraction techniques estimating composition soil seed banks,113,"JN Price, BR Wright, CL Gross, WRDB Whalley",Methods in Ecology and Evolution,"1 (2), 151-157",106,2010,ufrVoPGSRksC,"Caroline L. Gross, BSc(Hons), GradDipHigherED, PhD, Ecologist","""zksQIqYAAAAJ"""
weighing risk factors associated bee colony collapse disorder classification regression tree analysis,113,"D VanEngelsdorp, N Speybroeck, JD Evans, B Kim Nguyen, C Mullin, ...",Journal of economic entomology,"103 (5), 1517-1523",182,2010,kNdYIx-mwKoC,Diana L. Cox-Foster,"""p3nOyO8AAAAJ"""
identification resource bottlenecks agroecosystems quantifying impact biological pest control,114,"M Ramsdena, R Menendeza, S Leatherb, F Wäckers",,,1,2010,NXb4pA-qfm4C,Felix Wackers,"""3pVhk_wAAAAJ"""
restoration floating mat bog vegetation eutrophication damages improving water quality small pond,114,"R Tsujino, N Fujita, M Katayama, D Kawase, K Matsui, A Seo, ...",Limnology,"11, 289-297",14,2010,5nxA0vEk-isC,Atushi Ushimaru,"""9uE0IWMAAAAJ"""
impacts manipulated regime shifts shallow lake model ecosystems fate hydrophobic organic compounds,114,"I Roessink, CTA Moermond, F Gillissen, AA Koelmans",Water research,"44 (20), 6153-6163",26,2010,eQOLeE2rZwMC,Dr. ir. Ivo Roessink,"""v8ZfuNkAAAAJ"""
foraging activity plebeia remota stingless bees species influenced reproductive state colony,114,"P Nunes-Silva, SD Hilário, PS Santos Filho, VL Imperatriz-Fonseca",Psyche: A Journal of Entomology,"2010 (1), 241204",44,2010,eQOLeE2rZwMC,Patrícia Nunes-Silva,"""2W658PkAAAAJ"""
host plants distribution overwintering cotton mealybug phenacoccus solenopsis hemiptera pseudococcidae,114,"G Abbas, MJ Arif, MA Muhammad Ashfaq, MA Muhammad Aslam, ...",,,154,2010,u-x6o8ySG0sC,Shafqat saeed,"""c9IZPOUAAAAJ"""
spontaneous succession limestone quarries effective restoration tool endangered arthropods plants,114,"R Tropek, T Kadlec, P Karesova, L Spitzer, P Kocarek, I Malenovsky, ...",Journal of Applied Ecology,"47 (1), 139-147",369,2010,3fE2CSJIrl8C,Robert Tropek,"""0UDnavUAAAAJ"""
biological collections ecologicalenvironmental research review observations look future,114,"GH Pyke, PR Ehrlich",Biological reviews,"85 (2), 247-266",461,2010,4TOpqqG69KYC,"Pyke, Graham H.","""RDpVYUMAAAAJ"""
 novel method assessing risks pollinators plant protection products using honeybees model species,115,"S Barmaz, SG Potts, M Vighi",Ecotoxicology,"19, 1347-1359",30,2010,NMxIlDl6LWMC,Simon Potts,"""q_vbRxIAAAAJ"""
floral host plant range syrphid flies syrphidae diptera natural conditions southern punjab pakistan,115,"A Sajjad, S Saeed",Pakistan Journal of Botany,"42 (2), 1187-1200",64,2010,_FxGoFyzp5QC,Shafqat saeed,"""c9IZPOUAAAAJ"""
